0	1.4907705e-06	-5.8436432	-0.0052738775
0.64	1.4779153e-06	-5.8436339	-0.0052442728
1.28	1.5028633e-06	-5.8436153	-0.005256951
1.92	1.4967838e-06	-5.8436292	-0.0052216183
2.56	1.4984885e-06	-5.8436152	-0.0052505232
3.2	1.5208818e-06	-5.8436338	-0.0052796376
3.84	1.5091305e-06	-5.8436059	-0.0052446733
4.48	1.5482325e-06	-5.8436339	-0.0052700102
5.12	1.469848e-06	-5.8436385	-0.005256052
5.76	1.494731e-06	-5.8436246	-0.0052438118
6.4	1.4540433e-06	-5.8436106	-0.0052322155
7.04	1.4981244e-06	-5.8436246	-0.0052412894
7.68	1.4949333e-06	-5.8436246	-0.0052173781
8.32	1.5166437e-06	-5.8436292	-0.0052564604
8.96	1.5345197e-06	-5.8436106	-0.0052261991
9.6	1.4976435e-06	-5.8436106	-0.0052362936
10.24	1.4936586e-06	-5.8436059	-0.0052215892
10.88	1.5089484e-06	-5.843592	-0.0052392313
11.52	1.4991476e-06	-5.8436246	-0.0052576104
12.16	1.4830895e-06	-5.843606	-0.0052490921
12.8	1.4718815e-06	-5.8436339	-0.005255104
13.44	1.4600671e-06	-5.8436199	-0.0052456144
14.08	1.4836467e-06	-5.8436106	-0.0052322549
14.72	1.5157527e-06	-5.8436199	-0.0052505973
15.36	1.5205929e-06	-5.8436013	-0.0052240852
16	1.5246973e-06	-5.8436059	-0.0052606819
16.64	1.5324735e-06	-5.8436246	-0.005242134
17.28	1.5279885e-06	-5.843606	-0.0052587181
17.92	1.5050475e-06	-5.8435874	-0.0052489648
18.56	1.4787387e-06	-5.8436153	-0.0052500704
19.2	1.446536e-06	-5.8436292	-0.0052792854
19.84	1.4812308e-06	-5.8436199	-0.005253872
20.48	1.4739376e-06	-5.8436199	-0.0052661391
21.12	1.4990421e-06	-5.8436199	-0.005227676
21.76	1.5185491e-06	-5.8436292	-0.0052168925
22.4	1.5107881e-06	-5.8436013	-0.005220587
23.04	1.5273989e-06	-5.8436106	-0.0052539534
23.68	1.5096799e-06	-5.8436153	-0.0052654767
24.32	1.4822451e-06	-5.8436292	-0.0052647863
24.96	1.4664008e-06	-5.8436246	-0.0052503207
25.6	1.4898689e-06	-5.8436153	-0.0052608443
26.24	1.4752497e-06	-5.8436153	-0.0052232065
26.88	1.4995094e-06	-5.8436153	-0.0052381352
27.52	1.5141949e-06	-5.843592	-0.0052276389
28.16	1.51153e-06	-5.8436152	-0.0052479399
28.8	1.4917555e-06	-5.8436199	-0.005264435
29.44	1.5247343e-06	-5.8436013	-0.0052590853
30.08	1.5035793e-06	-5.8436339	-0.0052504437
30.72	1.4934681e-06	-5.8436385	-0.0052599823
31.36	1.4792864e-06	-5.8436246	-0.005248884
32	1.4856525e-06	-5.843606	-0.0052635189
32.64	1.4772825e-06	-5.8436106	-0.0052581179
33.28	1.5023539e-06	-5.8436199	-0.005263016
33.92	1.5295102e-06	-5.8436199	-0.0052540556
34.56	1.5162415e-06	-5.8436152	-0.0052481039
35.2	1.5111383e-06	-5.8436013	-0.0052440531
35.84	1.5307895e-06	-5.8436292	-0.0052196322
36.48	1.5002012e-06	-5.8436292	-0.005261929
37.12	1.486161e-06	-5.8436339	-0.005245052
37.76	1.4699265e-06	-5.8436246	-0.0052479851
38.4	1.4879303e-06	-5.843606	-0.0052257305
39.04	1.4783528e-06	-5.8436153	-0.0052344176
39.68	1.4798812e-06	-5.8436199	-0.0052226328
40.32	1.5215059e-06	-5.8436292	-0.0052575237
40.96	1.5111165e-06	-5.8436245	-0.0052521412
41.6	1.5181082e-06	-5.8436245	-0.0052573067
42.24	1.5106244e-06	-5.8436013	-0.0052219399
42.88	1.5176741e-06	-5.8436013	-0.0052433528
43.52	1.4882021e-06	-5.8436246	-0.0052508757
44.16	1.482906e-06	-5.843592	-0.0052533204
44.8	1.447846e-06	-5.8436106	-0.0052634901
45.44	1.4760652e-06	-5.8436153	-0.0052375871
46.08	1.4968751e-06	-5.8436153	-0.0052338248
46.72	1.5042935e-06	-5.8436385	-0.0052540333
47.36	1.5076606e-06	-5.8436385	-0.0052474995
48	1.5308564e-06	-5.8436199	-0.0052608877
48.64	1.5022403e-06	-5.8436338	-0.0052605759
49.28	1.5006892e-06	-5.8436339	-0.005252867
49.92	1.4616004e-06	-5.8436432	-0.0052422083
50.56	1.4587613e-06	-5.8436432	-0.0052641841
51.2	1.4703335e-06	-5.8436292	-0.0052516348
51.84	1.4990658e-06	-5.8436292	-0.0052282408
52.48	1.491468e-06	-5.8436106	-0.0052348789
